matchId,matchDuration,matchType,maxPlace,numGroups
0061b990c72c79,1295,squad-fpp,31,31
0063217a97a803,1932,duo,47,47
00656cf8a4dbe6,1379,duo,49,46
006755987f2217,1505,duo,47,45
006bfeab00aedb,1405,solo-fpp,92,90
006d25449eb444,1437,duo-fpp,48,45
006f34f9f3940c,1813,squad,27,26
0070e0d3a110ab,1362,squad-fpp,28,26
007124bcf16c97,1850,duo-fpp,47,45
00723ce92fd048,1764,squad,27,26
00733ad159aa16,1840,squad,28,27
007510af0aaa9e,1774,duo-fpp,48,47
007574bcec3608,1356,squad-fpp,29,27
00775fa92f3622,1874,solo,97,96
007919ca512b4b,1814,squad-fpp,29,26
0079cc1207eba9,1357,squad-fpp,25,25
007b41f0dbfe07,1771,squad-fpp,27,26
007cf333696926,1358,squad-fpp,28,28
007e905294c254,1482,solo-fpp,96,94
007edf38197cec,1379,duo-fpp,42,41
00817c4617e086,1781,solo-fpp,99,93
0081b70bec90ee,1457,squad-fpp,29,29
0083aec3e2b9d9,1965,squad,27,27
00869975e9aae1,1194,squad,28,27
00878990470551,1244,solo-fpp,95,92
0087d93e5e9c20,1889,squad-fpp,28,24
0087f861b21388,1402,solo-fpp,97,95
008b455a294533,1363,duo-fpp,48,48
008be222ba83bf,1952,squad-fpp,27,27
008c4580f1efe3,2199,solo,99,95
0092b13293cba1,1423,solo-fpp,97,94
00930789f7075f,1813,duo-fpp,21,20
009505123eaceb,1797,duo-fpp,44,40
00970bbf4f2bd2,1879,duo-fpp,50,49
00991cdad6d1cb,1324,squad-fpp,29,28
00992f0a7d0c70,1768,squad,29,29
009ad4c8032917,1965,squad-fpp,30,29
009df0937ef7a7,1842,squad-fpp,31,29
009e6577f6d43e,1872,squad-fpp,28,28
009e7861c29d27,1354,duo,47,45
009f9888ea798d,1788,duo,48,48
00a02b1f4add63,1892,squad,30,29
00a21e8eac913b,1483,solo-fpp,95,93
00a3f055d1b7c9,1295,squad-fpp,28,26
00a4afdb911815,1356,solo-fpp,89,89
00a5198da343b3,1385,squad-fpp,26,25
00a68e345b7e14,1395,squad-fpp,27,26
00af0cf2e3bfd6,1320,squad-fpp,31,28
00af65eed431fd,1947,solo-fpp,93,90
00b217e69ba569,1982,duo,43,37
00b4fc825caff5,1365,duo-fpp,48,48
00b513004f88aa,1872,duo-fpp,47,46
00b552a5ff7e2f,1494,duo-fpp,50,50
00b5f6d99afc06,1974,squad,26,26
00b6482910e493,1372,squad-fpp,30,30
00b7d667dbdc12,1330,squad-fpp,27,27
00b819c069d144,1520,duo,49,42
00b8cdec236db6,1368,squad,27,26
00b9b730ca984d,1905,duo,46,44
00ba2b958444a0,1979,squad,30,29
00ba543b33f999,2186,squad-fpp,27,27
00bbe656df29fb,1405,squad,29,28
00bcb948cf008e,1359,squad-fpp,27,26
00bde567279bca,1768,squad,28,26
00bea017d36372,1896,squad-fpp,29,29
00beb3dec3c507,1876,squad-fpp,29,28
00bf40fb9aa15c,1340,squad,28,27
00c0586a397e12,1873,squad,23,22
00c0dcc021660e,1403,squad-fpp,29,28
00c53f73f6ac12,1382,solo,98,95
00c5555be6892e,1389,duo-fpp,48,47
00c6ce68aebd56,1356,solo-fpp,96,94
00c753af8e917b,1611,squad,27,26
00c7eba155c6a6,1287,squad-fpp,28,27
00c89945aa2e9f,1401,squad-fpp,28,26
00c8ba4b170f30,1717,squad-fpp,30,29
00ca766fde7113,1467,duo-fpp,49,43
00ce6712c7f522,1278,squad,28,28
00cea312eb05c3,1821,squad-fpp,30,28
00cebe6dd639d0,1789,squad-fpp,27,27
00cf0602f8f692,1395,solo-fpp,98,94
00d37727276bae,1915,solo-fpp,99,95
00d4a69342380a,1376,duo,49,45
00d57a4e41920a,1386,squad-fpp,27,27
00d5cb69beaff7,1737,squad-fpp,28,26
00d6e4f6d28815,1318,squad-fpp,30,28
00d76f8d3229dc,1453,solo-fpp,95,91
00ddf3b6f5ee57,1891,squad-fpp,30,26
00de3839a749e4,1750,squad-fpp,29,29
00df303460dfe6,687,normal-squad-fpp,7,7
00dfd4c3c0d54b,1366,squad-fpp,32,32
00e0071b415b8e,1404,squad-fpp,33,33
00e02731abd542,1358,squad-fpp,29,29
00e0abcf6a7d35,1408,squad-fpp,28,28
00e19486795c76,1346,solo-fpp,97,94
00e30b1095aa54,1859,squad-fpp,28,25
00e701c3e05f66,1782,solo-fpp,96,94
00e74d5b3915ee,1897,solo-fpp,97,93
00e75352abef09,1379,duo-fpp,49,48
00e85e144ff4d2,1891,duo-fpp,48,46
00ea5420acb932,1339,squad-fpp,28,26
00eec84757e624,1307,duo-fpp,48,47
00efee3dd33d5f,1354,solo,98,93
00f0c1a7e9d00b,1261,squad-fpp,27,23
00f2dad24ae3a1,1284,squad-fpp,28,27
00f5b66c58ee30,1352,squad-fpp,26,26
00f600051f84ac,1386,squad-fpp,28,26
00f61eb430bf98,1317,squad-fpp,31,31
00f626aafb683e,1833,squad,27,26
00f744d0539faa,1780,squad,29,28
00f80909b06cb9,1377,squad-fpp,28,28
00f83247190d14,1351,solo-fpp,93,93
00fcfd889a0373,1774,duo-fpp,48,45
0101ab001bb2c2,1808,solo,16,2
01033dca63072d,1374,duo-fpp,49,46
01042751e50f77,1746,squad-fpp,28,26
0104eeb664494d,1091,normal-squad-fpp,6,6
0105ef51d974a3,1957,squad,27,26
01063dbd0f1a46,1410,squad-fpp,28,28
010732292c70e0,2005,solo-fpp,94,91
010808e118725b,1383,squad-fpp,27,27
010979e3dc5b35,1325,duo-fpp,49,47
010e023d4b35d1,1898,duo,50,50
01113288885b5b,1387,squad-fpp,28,28
011275a6c8baa3,1770,squad-fpp,28,27
01128b97288cbe,1391,squad-fpp,26,25
01131bf72999aa,1892,squad,27,27
01159477b625e1,1414,duo-fpp,49,49
0116c7160de91e,1300,duo-fpp,49,47
0118251e3e9a82,1351,squad-fpp,28,28
011b0592429c85,1398,squad,24,24
011cbe68b735e9,1899,duo-fpp,50,48
011de21ab94726,1970,squad-fpp,28,26
011f1afe2db83d,1808,solo,17,2
012194512980ad,1233,squad-fpp,27,25
01223b3a01f9dc,1381,squad-fpp,23,20
0125f5e125774c,1355,squad-fpp,27,26
01271fcdf0fcf6,1376,duo,46,46
0128308b5c4181,1292,squad-fpp,27,27
012caa60f24e48,1437,squad,28,27
012dbeef7bd92c,1399,squad-fpp,29,29
0130279f032add,1793,squad-fpp,30,30
01308f8bfaa0c7,1308,squad-fpp,29,27
0131033622536a,1391,squad-fpp,30,29
013215d0bd1aa8,1444,squad-fpp,29,29
0133230ce65515,1946,solo,92,87
013399e7a29ee2,1327,duo-fpp,48,45
013416a4b67171,1749,duo-fpp,46,45
0135ba4ccece3f,1381,squad-fpp,27,27
0136261ba00a89,1374,squad-fpp,30,28
01370c58128112,1964,duo,45,44
01371a46faff7d,1450,duo-fpp,46,46
013a5a67ddd43d,1501,squad-fpp,28,28
013bead1c1736c,1758,squad-fpp,27,26
013f016f48d4a2,1428,squad,28,27
01409494dfc0b9,1832,squad-fpp,30,27
014231b728ec35,1412,duo,48,46
01435d33376fd0,1808,solo,15,2
01454e3483914b,1969,squad-fpp,27,26
014754023f18c7,1335,squad,29,29
0147b946393557,1387,duo-fpp,48,47
01496a416b1389,1444,duo,48,47
014a1d36a427ec,1842,squad-fpp,28,28
014a6bcfd959ea,1846,squad-fpp,29,27
014c020c90e5b5,1332,duo-fpp,50,46
014c9660d1fe27,1762,duo-fpp,47,47
014d0c4dc3a749,1383,squad-fpp,28,27
014da08bd59094,1418,solo-fpp,94,94
014df93c7dca83,1918,squad-fpp,28,25
014eabcd4e7fff,1889,squad-fpp,30,28
014edc7de73a8e,1814,duo-fpp,49,48
014f0eac673783,1857,normal-squad-fpp,16,16
01530800ed9120,1378,squad-fpp,26,26
0153e9298bab08,1982,solo-fpp,95,93
015921ecd34080,1378,squad-fpp,27,27
015ab2998d0117,1325,squad-fpp,29,28
015ab9741f95f0,1364,squad-fpp,30,29
015b11a099e5fe,1383,squad-fpp,28,27
015c7dc3bfecf6,1808,solo,16,2
015e046cf159a9,1797,squad,28,28
015e56e3d07b58,1915,solo-fpp,97,93
015e759cb4446a,1397,squad-fpp,30,29
0161ba61b1e774,1301,squad,27,27
0161fee40a24da,1283,duo-fpp,49,49
016228c624c5dd,1861,duo-fpp,48,48
016286fd38276a,1796,squad-fpp,28,28
0163118d163d25,1397,squad-fpp,29,28
0163e226f77a1d,1541,duo-fpp,49,47
0165d05e93e628,826,normal-squad-fpp,3,3
016960566c8534,1513,solo-fpp,98,94
0169b4ab1044fc,1331,duo-fpp,50,49
016b3302e18038,1313,squad-fpp,30,29
016b87b8a0bde8,1945,duo-fpp,47,45
016c4b1866bece,1321,duo-fpp,45,42
016d03d56d3dc1,918,normal-solo,15,10
016e60648e137d,1977,squad-fpp,27,25
016fffa735f4cc,1379,squad,27,26
017006cd2ec72c,1480,squad,29,29
01713b446ade98,1310,squad-fpp,28,27
0172973e155efd,1892,duo-fpp,46,44
01746be5c0673f,1809,squad-fpp,28,26
0174a60c96779a,1956,solo-fpp,95,91
0174d36366246a,1353,solo-fpp,99,97
017544cfad208c,1793,squad-fpp,26,26
017563d39f54b4,1877,solo-fpp,88,88
01794e4f556206,1242,squad-fpp,26,26
017b94842886a7,2184,duo,46,45
017c8747880b20,1367,squad,29,28
017e6d2834ab7c,1204,squad-fpp,29,29
018449bc7cd25a,1153,squad-fpp,29,28
018503d0dd55ab,1873,duo,48,45
01863e14750a87,1880,solo-fpp,95,93
0186bb2ca584a5,1359,squad,27,25
01895138366438,1368,duo,48,47
018cd44942e5a2,1773,squad-fpp,27,25
018ce1772c2776,1384,squad-fpp,30,29
018cee8ac43253,1892,duo-fpp,49,49
018de2f59d132c,1869,squad,26,26
018e73571e6a82,1373,solo-fpp,98,96
018f044f465cc7,1949,duo-fpp,48,44
01912c4c2f0ec6,1324,squad-fpp,27,26
0192b29dc8f89b,1442,duo-fpp,50,50
0194a2ee390e2e,1781,squad-fpp,28,25
0195fbe135716e,1808,solo,16,2
0196d98afb26d3,1385,duo-fpp,49,48
019b23225e5331,1890,squad-fpp,30,30
019e9035fb8c79,2168,squad-fpp,25,24
019f5b580418ce,1260,squad-fpp,28,27
01a06e138cf26a,1734,squad-fpp,27,23
01a24aac437743,1398,duo,48,46
01a29620375bce,1325,squad-fpp,29,28
01a2b00bcb145e,1910,squad-fpp,27,27
01a48d0bce97aa,1881,squad-fpp,27,26
01a5d51e1018e0,1283,duo-fpp,48,47
01a73788aa99fd,1787,squad,28,26
01aaf6eb830922,1393,squad-fpp,28,28
01acbd271229de,1765,solo,99,95
01ad9ab6e931b8,1808,solo,17,2
01adb3920f6338,1884,duo-fpp,48,47
01aead02bb8901,1808,solo,20,2
01b051aebc4bdd,1382,solo-fpp,97,96
01b116e9d0846c,1890,duo-fpp,50,48
01b131d27f0207,1345,squad-fpp,30,30
01b181cc4ecc2c,1957,squad-fpp,29,27
01b35e88217d94,1785,squad-fpp,28,28
01b3c23a1ed090,1815,squad-fpp,29,29
01b41568567016,1365,duo-fpp,50,46
01b449c64981a0,1382,squad-fpp,26,22
01b7924416d3b8,1387,squad-fpp,30,27
01b8ec4da488d8,1307,squad-fpp,27,26
01ba387ef658b2,1306,duo-fpp,49,47
01c28d9fbb9223,1408,duo,49,45
01c44a774e90ea,1930,duo-fpp,49,47
01c492abbad889,1940,squad-fpp,30,28
01c658dcf3a2a0,1759,solo-fpp,97,93
01c7768d577799,1896,squad,30,29
01ca563b808a48,1439,squad,30,28
01cb6b50770d28,1812,squad-fpp,31,31
01cc8f9b15d3d6,1887,normal-duo-fpp,27,27
01ce13ad81c6f2,1424,squad,22,21
01cfd363fff3ca,1822,solo,98,94
01cfed81575ebc,1352,squad-fpp,29,28
01d17a238bb722,1305,squad-fpp,29,28
01d1d69fbf52b2,1362,duo-fpp,48,46
01d34f57935546,1366,duo-fpp,48,45
01d58b3ed6a362,1394,squad-fpp,27,27
01d5f4e165b150,1871,squad,27,26
01d61aefebc037,1437,duo-fpp,47,47
01d6a4abab5e32,1795,squad-fpp,29,29
01dbf53a1129e3,1332,squad-fpp,29,28
01de7458fca397,1413,solo-fpp,97,95
01e08c80004e4f,1336,squad-fpp,26,26
01e09872221dec,1395,squad,26,25
01e0c945a7a114,1712,solo-fpp,94,90
01e4fa4d75e9f2,1907,duo-fpp,46,45
01e63e00774742,1938,squad,27,27
01e673f6c71906,1343,squad-fpp,29,28
01e75f1ffc62e0,1820,duo,48,47
01e836fb870acc,1393,duo,49,47
01ea84f396e63a,1334,squad-fpp,28,27
01ece17347457a,1761,duo-fpp,48,48
01edfde303d176,1883,solo-fpp,97,93
01ee716430b23a,1808,solo,18,2
01eec3431aa6ed,1273,squad-fpp,28,27
01ef23f9e7c2b5,2064,solo-fpp,98,94
01ef93c8bc0357,1804,duo-fpp,49,46
01f17234b6ee51,1396,squad,25,24
01f48d8f2b2d40,1289,duo-fpp,46,43
01f626b8b75e51,1813,duo-fpp,50,45
01f77d147fdd4a,1407,squad-fpp,27,27
01f8e99682199f,1341,squad-fpp,30,29
01fadb593559c3,1308,squad-fpp,28,28
01fbb2e93d5a80,1340,solo-fpp,98,96
01fdf38b6b30a5,1774,solo-fpp,95,90
01fe362e40ea2c,1867,squad,29,29
02012d17afa6d7,1298,squad-fpp,27,27
0201b9306b321d,1308,solo-fpp,96,93
020271be215728,1894,squad,27,27
020470a4bd774a,1224,squad-fpp,29,26
0204aabec5a894,1806,squad-fpp,26,26
020527dc69e7b9,1301,duo,49,49
02063b8e91afed,1883,duo-fpp,49,48
020b0802aba439,2162,normal-squad-fpp,16,16
020d01b0842c08,1876,solo-fpp,99,97
020fb6ef71638d,1981,squad-fpp,27,26
0211af1f386a89,1992,squad-fpp,27,27
021249bd945aaf,1622,squad-fpp,27,26
021668b8787f47,1474,duo-fpp,50,47
0217505480a507,1460,squad,28,28
0219adeb247ade,1813,squad,28,26
021bb104349ade,1802,squad-fpp,26,26
021d805fdc4dfc,1924,squad-fpp,26,24
02217036220289,1928,squad,27,26
02219b7b766d3b,1395,squad-fpp,31,29
0222045a962940,1871,squad,29,29
0222fdb3e10712,1332,squad-fpp,29,28
0223ecf4df64dc,1885,squad-fpp,31,31
0224a0cb88a680,1458,solo-fpp,100,99
02251f10f3f53a,1378,duo-fpp,50,50
0227b0bc591912,1375,squad-fpp,29,29
0228f9800b490b,1904,duo-fpp,48,46
022a163e0d951e,1387,solo,93,89
022a974df61a60,1742,squad-fpp,30,29
022ad2dcb731f2,1387,squad,27,26
022d1ec646ed21,1905,squad-fpp,28,26
022d473d42f0cc,1767,solo-fpp,92,90
022ebe70a8a19a,1371,duo-fpp,50,50
0230929ccc548f,1361,duo-fpp,48,47
0231af78de2294,1377,squad,27,27
02363475d8664a,1792,squad-fpp,30,29
02372fcedbdc5c,1391,duo-fpp,49,47
0237cfda28f205,1827,duo-fpp,50,50
0237f2eb2a15ce,1386,duo-fpp,48,48
02386dde28201e,1289,duo-fpp,49,48
0238dca37440fc,1349,solo-fpp,97,96
02391429c399e0,1370,squad-fpp,27,27
023a486070356e,1862,squad-fpp,30,29
023e7d5684fe09,1425,squad,24,24
024006b5d16772,1367,duo-fpp,48,46
0243375788de49,1381,squad-fpp,30,29
0243682108eba0,1503,solo-fpp,96,96
02446e14ab61d5,1896,squad-fpp,30,28
024647fcd887a6,1367,squad-fpp,32,32
0247a90493763b,1423,squad,28,26
0249eb2549b198,1885,duo-fpp,44,42
024be83e62e932,1257,duo-fpp,46,44
024c721fa7c5a9,1435,duo-fpp,47,46
02509ed459fe8f,1363,squad-fpp,29,29
02509f54c4fa2a,1468,duo-fpp,49,48
0253dbcdbea1b3,1884,solo-fpp,94,89
02540cf669474d,1295,squad-fpp,27,27
02542d9a40817a,1452,squad-fpp,27,27
0255fbabe5474a,1377,duo,49,48
025b1fbe4bf4c9,1919,solo-fpp,94,91
025c7d242515b5,1782,duo-fpp,48,46
025dddfb3f9386,1364,duo-fpp,50,48
025e4fdb2234f3,1371,duo-fpp,49,48
025fee4b8bd481,1900,duo-fpp,46,44
0260d850d1d382,1877,duo-fpp,48,47
0261c3e6881977,1352,squad-fpp,27,27
026334a6e9fb0d,1956,squad,29,27
026349ed15aea9,1896,solo-fpp,99,99
026411c1af2303,1387,squad-fpp,28,25
0264ce86c5b838,2028,solo-fpp,92,90
0265d30ceba194,1419,solo-fpp,97,97
026723bbcb4374,1413,duo-fpp,48,46
026768c6938929,1850,duo-fpp,48,46
02698f283e3889,1375,squad-fpp,29,28
026a721f307c2a,1320,duo-fpp,49,47
026d365696f8eb,1773,duo-fpp,48,48
02708bb073a20e,1379,solo,100,97
027166d2797487,1837,squad-fpp,28,28
027289cb33812b,1779,duo-fpp,46,43
02730181a483db,1840,duo-fpp,47,45
027740505fd789,1400,squad-fpp,27,26
02777f0c7ca909,1451,squad,28,25
02785af028c58f,1372,squad-fpp,30,28
027881b100d325,1358,duo-fpp,49,49
027969487ae2c8,1901,solo-fpp,99,97
027c9b5f5d4855,1400,squad,27,27
027d078d3b0ed0,1896,squad-fpp,28,27
027d28923671bb,1350,solo-fpp,96,92
027eac91454d75,1377,solo-fpp,92,90
0280180172bd50,1444,squad-fpp,27,26
02806681af1573,1414,squad-fpp,32,32
0283187055f07d,1379,duo-fpp,49,49
02857d2b8f468f,1264,squad-fpp,28,27
0286e04ed72d41,1932,duo-fpp,47,45
0287a3001f1447,630,normal-squad-fpp,8,8
028ac5a4aaf3b4,1376,solo-fpp,96,94
028d1506521416,1377,squad-fpp,27,26
028dbc7f465644,1885,squad-fpp,29,29
028ebb4d393253,1788,solo-fpp,94,89
029056c90559ab,1306,squad,28,28
02916a3c3e4c0e,1902,duo-fpp,47,44
0291abae09b956,1355,solo-fpp,99,97
02921cb9b336eb,1287,duo-fpp,49,48
029223fabde6a1,1455,solo-fpp,95,94
02937d280a571e,1852,squad-fpp,26,25
0293c2c8d07331,1309,duo-fpp,49,49
02954a1ce681c0,1377,squad-fpp,27,27
0295dbf8389291,1377,squad,27,26
02985d1bc04985,1465,solo-fpp,99,98
029967c82c0eda,1362,duo,49,49
029ae9fb70875a,1894,squad-fpp,27,26
029af21ece3a8f,1275,squad-fpp,26,26
029b8d960efd17,1801,duo-fpp,33,31
029dbd3fa171f3,1337,squad-fpp,27,26
029e7db020600e,1348,squad-fpp,27,26
029e902904a903,2009,duo-fpp,46,45
029f43bd637eb1,1402,squad,26,24
02a0cfc1132f7a,1773,duo-fpp,48,45
02a337dc4be560,1836,squad-fpp,26,25
02a33c2c864ed5,1783,duo-fpp,47,43
02a9b62a09d5d8,1879,squad,28,25
02aa2e452f6a51,1364,squad-fpp,26,25
02aadeeaa58392,1879,squad,29,29
02abc00dbe6050,916,crashfpp,47,45
02ad4596cf9a35,1843,duo-fpp,47,44
02ad6ade3eb873,1333,squad-fpp,26,26
02ad76fc533877,1678,solo,96,92
02ae80615c1024,1366,squad-fpp,27,26
02b177aab7396d,1762,duo-fpp,49,45
02b28de4ef39d7,1771,solo,96,92
02b36b354b3082,1389,duo-fpp,49,48
02b3c49be85dda,1402,duo-fpp,50,47
02b4a6e639a609,1784,squad-fpp,25,25
02b5ab15c804af,1292,squad-fpp,30,28
02ba3e6fbb11be,1723,squad-fpp,29,27
02c119df7551bd,1816,squad-fpp,27,25
02c11c039862d4,1213,solo-fpp,92,90
02c46a5fa1f410,1437,squad,27,27
02c5c6b9032eb7,1929,squad-fpp,30,30
02c6725969b5dd,1806,squad-fpp,26,26
02c895a70d69a0,1837,squad-fpp,30,27
02c9a7352a9c4c,1388,squad-fpp,30,29
02ca9ace246f02,1381,duo-fpp,45,44
02cb163659e1df,1404,duo-fpp,46,46
02cd061e42d74c,1384,solo-fpp,95,95
02cdb3b30d37e3,1410,solo-fpp,93,91
02ceab5f102b39,1856,squad-fpp,26,24
02cf1db07c3934,2022,duo,42,42
02d17b99f39a48,1808,solo,19,2
02d2240397466a,1975,duo,47,41
02d369aa9480bf,1399,duo-fpp,47,44
02d59c10158e8f,1398,solo,91,89
02d86e9211679e,1840,squad-fpp,30,30
02d89fbd184752,1351,squad,28,27
02db72db1ecd2d,1457,duo,38,37
02db8e843472d7,1764,solo-fpp,98,93
02db9e1288bccb,1367,squad-fpp,30,28
02dba39585334b,1946,solo-fpp,88,86
02dc1dcc5c804d,1433,solo,98,97
02dd2c1a0b34de,1897,duo-fpp,49,48
02e0a633cf9d91,1533,duo-fpp,50,48
02e2628989d15c,2025,squad-fpp,30,29
02e2b84c01e0cb,1450,squad,28,28
02e566e5b8618f,1769,squad-fpp,13,13
02e61ef5cb04b6,1490,duo-fpp,48,46
02e7439dc8629b,1963,squad-fpp,29,28
02ea291066b6c8,1536,squad,29,29
02ee60acd3104a,1862,squad-fpp,29,27
02eef9566e9516,1355,solo-fpp,95,94
02f03172b20e56,1370,solo,90,78
02f1728faf8b84,1819,squad,27,24
02f1949df5fd7f,1806,squad,28,28
02f198e07f69db,1396,squad,29,29
02f2610179966f,1886,duo-fpp,48,46
02f406889d8dc3,1889,squad,29,29
02f5dfd7dbb711,1424,squad-fpp,27,26
02f656fa780115,1997,normal-squad-fpp,16,16
02f87e2eaa460a,1435,squad,28,28
02f9131593f47e,1367,duo,49,48
02f9e6c15fad85,1904,duo,47,43
02fa04fa4096fb,1336,duo-fpp,48,46
02fa6b06351447,1277,solo-fpp,55,53
02fe02a7543ba3,1896,duo-fpp,49,46
02ffb5d6b7e765,1461,squad-fpp,30,29
0300f2c0e48b0a,1319,squad-fpp,27,26
0303c11f9de37f,1458,solo-fpp,92,87
03044c944dde28,1462,duo,43,41
0304dc61744deb,1448,duo-fpp,48,47
0305456dafa81f,1824,solo-fpp,95,91
03057793890cd2,1798,squad-fpp,31,29
0307c8d179bef2,1367,solo,96,95
0307f6b2083200,1818,squad-fpp,29,28
030abcc9067296,1451,solo-fpp,94,93
030c1fcf4aff43,1886,squad-fpp,31,30
030ce58f65df30,1887,duo,46,41
030d48574b4078,1988,duo-fpp,48,46
030d4ca689420a,1453,duo,48,47
030db3aa2daa44,1871,squad-fpp,29,27
030eff2bfd4ad1,2185,duo,45,42
03111fe6472a69,1391,solo-fpp,98,98
0312d3e6b1dd08,1965,squad-fpp,29,28
0314fb2fb89340,1775,squad-fpp,29,27
03159ca1fbd6fb,1920,squad-fpp,29,29
0315cb5e155601,1859,squad-fpp,30,30
0316b429b4a702,1369,squad-fpp,30,29
031c7b39718669,1286,squad-fpp,26,25
031cb46be85b58,1778,solo-fpp,90,88
031cddceb6e640,1395,duo-fpp,48,45
031e6237416f53,1290,squad-fpp,29,27
031fb8b6e1a213,1385,squad-fpp,29,29
0320326176e7d4,1356,squad,29,29
0321d22e0d081c,1366,duo-fpp,48,44
0322dc0ce8a859,1333,squad-fpp,29,28
0322de6457c6f4,1963,duo-fpp,48,45
03230fded6ba2e,1480,solo,98,95
0323480f52090f,1402,squad-fpp,32,31
032529b42b140c,1369,duo-fpp,49,49
03259e0e04a9e3,1890,squad-fpp,26,25
032660e1e5dee5,1857,duo-fpp,47,47
032707199af99f,1303,duo,49,48
0328b185f7e051,1257,squad-fpp,27,26
0328b7b9006181,1381,duo-fpp,48,47
0329a1553bc7fa,1386,squad-fpp,25,25
032a4b0bc4478d,1767,duo-fpp,48,44
032d331ac689de,1768,squad-fpp,26,25
032e5e6c045cd3,1852,solo-fpp,90,87
032e5e8706f3e6,1933,squad-fpp,30,29
032f5a9397fc4f,1977,squad,29,29
032fa1afcb09db,1349,squad-fpp,30,30
0331f82bedc591,1300,squad-fpp,30,30
0332818c106b8d,1847,squad,27,26
0334f9595b511b,1898,squad,28,28
03357a295ffa39,1398,squad-fpp,26,25
0338497539334d,1509,duo,47,47
0338e1fae11881,1381,squad,26,24
033d605d737369,1715,squad-fpp,26,24
033d697a9427c7,1322,squad,28,27
033dc508c6a7db,1515,squad-fpp,28,28
033df1b2a3019c,1355,solo-fpp,95,94
033e887af593e8,1219,duo-fpp,48,46
03403fb596d4c4,1417,squad,26,25
0340bcbd74211a,1894,duo-fpp,45,44
03445f606ff7f2,1397,squad,29,26
0344b4e3df37a3,1654,squad,26,26
03457ad31090f2,1258,squad,26,24
03460ed8769419,1350,squad-fpp,29,29
034a385dd060d4,1410,duo-fpp,49,48
034ad7be4c0ffa,1889,squad,28,28
034f3cd91fc0af,1925,solo,92,90
034f6041baec64,1409,squad-fpp,27,27
035332d12fc193,1861,squad-fpp,27,27
03543e17dc2a4c,1437,squad-fpp,28,28
0357cbc41f056d,1332,squad-fpp,27,25
0358a2c6993924,1955,duo-fpp,48,47
035d5795be1bd5,1911,duo-fpp,46,43
035f3fbd221f42,1361,duo-fpp,49,49
03608931ea5564,1893,squad-fpp,29,27
0360d6e0580bbe,1364,duo-fpp,49,47
03621ec66470e1,1446,squad-fpp,28,28
0366a18944b327,1805,solo-fpp,36,34
